Location,Lat,Long
Sappada,46.563717,12.667259
Villa_santina,46.4138149,12.9161294
Pontebba,46.5031464,13.2986071
Tarvisio,46.5057513,13.5628785
Forni,46.4208621,12.560566
Stolvizza,46.3621529,13.3510267
Barcis,46.1906756,12.5544384
Gemona,46.2749302,13.0963608
Spilinbergo,46.1201473,12.8484719
Udine,46.0627018,13.2181238
Cividale,46.0912087,13.423233
Pordenone,45.9560557,12.6453929
Codroipo,45.9649378,12.9655161
Rivignano,45.8750398,13.0346511
Palmanova,45.9050166,13.3073832
Gorizia,45.9469495,13.5973763
Lignano,45.673596,13.0928735
Grado,45.6826927,13.3848035
Trieste,45.6514457,13.7608539
